City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
56,Guerrero Negro,MX,2020-02-19 00:13:54,27.98,-114.06,65.34,66,99,12.66,overcast clouds,0,0
57,Vaini,TO,2020-02-19 00:13:54,-21.2,-175.2,77.0,88,75,6.93,light intensity shower rain,0,0
58,Nokaneng,BW,2020-02-19 00:13:55,-19.67,22.27,71.04,88,100,7.2,light rain,0,0
59,Iqaluit,CA,2020-02-19 00:13:55,63.75,-68.51,-29.0,66,5,4.7,clear sky,0,0
60,Atuona,PF,2020-02-19 00:13:55,-9.8,-139.03,81.81,77,11,17.63,few clouds,0,0
61,Hobart,AU,2020-02-19 00:13:55,-42.88,147.33,57.2,54,75,23.04,broken clouds,0,0
62,Morondava,MG,2020-02-19 00:13:55,-20.28,44.28,75.96,93,100,2.75,light rain,0,0
63,Ostrovnoy,RU,2020-02-19 00:13:55,68.05,39.51,12.16,98,92,5.64,overcast clouds,0,0
64,Albany,US,2020-02-19 00:13:43,42.6,-73.97,39.0,93,90,9.17,moderate rain,0,0
65,Aykino,RU,2020-02-19 00:13:56,62.22,49.99,34.02,97,100,12.15,light snow,0,0
66,Karratha,AU,2020-02-19 00:13:56,-20.74,116.85,88.05,62,27,13.22,scattered clouds,0,0
67,Havoysund,NO,2020-02-19 00:13:56,71.0,24.66,23.0,73,75,27.51,shower rain,0,0
68,Wedi,ID,2020-02-19 00:13:56,-7.74,110.58,75.2,100,40,2.06,mist,0,0
69,Sundsvall,SE,2020-02-19 00:12:00,62.39,17.31,34.0,92,62,4.7,broken clouds,0,0
70,Souillac,MU,2020-02-19 00:13:56,-20.52,57.52,78.8,74,40,6.93,scattered clouds,0,0
71,Nikolskoye,RU,2020-02-19 00:13:57,59.7,30.79,39.2,80,40,11.18,scattered clouds,0,0
72,Port Alfred,ZA,2020-02-19 00:13:57,-33.59,26.89,64.99,96,83,1.99,broken clouds,0,0
73,Tasiilaq,GL,2020-02-19 00:13:57,65.61,-37.64,23.0,79,100,24.16,light snow,0,0
74,Carnarvon,AU,2020-02-19 00:13:57,-24.87,113.63,77.0,94,36,3.36,scattered clouds,0,0
75,Samarai,PG,2020-02-19 00:13:57,-10.62,150.67,88.34,56,51,3.53,broken clouds,0,0
76,Cape Town,ZA,2020-02-19 00:12:29,-33.93,18.42,71.01,73,0,12.75,clear sky,0,0
77,Balabac,PH,2020-02-19 00:13:57,7.99,117.06,81.18,74,22,18.54,few clouds,0,0
78,Poum,NC,2020-02-19 00:13:58,-20.23,164.02,80.67,80,49,20.92,light rain,0,0
79,Margate,GB,2020-02-19 00:13:58,51.38,1.39,43.0,80,96,13.87,light rain,0,0
80,Misratah,LY,2020-02-19 00:13:58,32.38,15.09,58.89,67,0,11.99,clear sky,0,0
81,Burnie,AU,2020-02-19 00:13:58,-41.07,145.92,59.0,74,100,8.01,overcast clouds,0,0
82,Galesong,ID,2020-02-19 00:13:58,-5.32,119.37,77.0,94,40,4.7,scattered clouds,0,0
83,Upernavik,GL,2020-02-19 00:13:58,72.79,-56.15,-6.68,98,100,5.5,overcast clouds,0,0
84,Puerto Del Rosario,ES,2020-02-19 00:13:58,28.5,-13.86,66.2,77,90,20.8,overcast clouds,0,0
85,Bouca,CF,2020-02-19 00:13:58,6.51,18.27,73.96,27,21,4.34,few clouds,0,0
86,Susice,CZ,2020-02-19 00:13:58,49.23,13.52,41.0,97,75,8.05,broken clouds,0,0
87,Billings,US,2020-02-19 00:13:40,45.78,-108.5,19.0,78,75,6.93,broken clouds,0,0
88,Ugoofaaru,MV,2020-02-19 00:13:59,5.67,73.0,81.05,76,64,13.71,broken clouds,0,0
89,Bangkok,TH,2020-02-19 00:12:01,13.75,100.52,77.0,64,20,3.36,few clouds,0,0
90,Pacific Grove,US,2020-02-19 00:13:59,36.62,-121.92,69.01,59,1,12.75,clear sky,0,0
91,Cidreira,BR,2020-02-19 00:13:59,-30.18,-50.21,77.16,86,100,14.94,light rain,0,0
92,Guapo,BR,2020-02-19 00:14:00,-16.83,-49.53,75.2,83,75,2.24,broken clouds,0,0
93,Manitouwadge,CA,2020-02-19 00:14:00,49.12,-85.84,8.62,92,100,7.49,light snow,0,0
94,Paamiut,GL,2020-02-19 00:14:00,61.99,-49.67,7.75,66,97,7.25,overcast clouds,0,0
95,Salinas,US,2020-02-19 00:12:36,36.68,-121.66,70.0,59,1,12.75,clear sky,0,0
96,Bluff,NZ,2020-02-19 00:14:01,-46.6,168.33,61.0,76,55,15.99,broken clouds,0,0
97,Ancud,CL,2020-02-19 00:14:01,-41.87,-73.82,53.6,87,90,8.05,overcast clouds,0,0
98,Kavaratti,IN,2020-02-19 00:14:01,10.57,72.64,81.25,71,14,6.87,few clouds,0,0
99,Hambantota,LK,2020-02-19 00:14:02,6.12,81.12,75.56,75,100,20.29,overcast clouds,0,0
100,Saint-Joseph,RE,2020-02-19 00:14:02,-21.37,55.62,78.8,78,0,4.7,light rain,0,0
101,Hilo,US,2020-02-19 00:14:02,19.73,-155.09,80.6,51,75,10.29,broken clouds,0,0
102,Tinaquillo,VE,2020-02-19 00:14:02,9.92,-68.3,68.59,93,51,4.94,light rain,0,0
103,Cockburn Town,TC,2020-02-19 00:14:02,21.46,-71.14,78.57,79,0,22.95,clear sky,0,0
104,La Rioja,ES,2020-02-19 00:14:02,42.25,-2.5,35.6,93,40,1.12,scattered clouds,0,0
105,Tiksi,RU,2020-02-19 00:14:02,71.69,128.87,-5.42,91,100,7.0,overcast clouds,0,0
106,Kununurra,AU,2020-02-19 00:14:02,-15.77,128.73,82.4,83,40,5.82,scattered clouds,0,0
107,Marica,BR,2020-02-19 00:14:02,-22.92,-42.82,89.6,70,67,3.36,broken clouds,0,0
108,Grand Gaube,MU,2020-02-19 00:14:03,-20.01,57.66,78.8,74,40,6.93,light rain,0,0
109,Fonte Boa,BR,2020-02-19 00:14:03,-2.5,-66.27,77.27,85,76,1.41,light rain,0,0
